company,date,equity_usd,debt_usd,valuation_usd,status,closed,round_type,confidence
Anthropic,2021-05-28,124000000.0,,674000000.0,Closed,True,Primary,Confident
Anthropic,2022-04-29,580000000.0,,3700000000.0,Closed,True,Primary,Confident
Anthropic,2023-05-23,450000000.0,,4500000000.0,Closed,True,Primary,Likely
Anthropic,2023-10-25,2000000000.0,,,Closed,True,Primary,Likely
Anthropic,2024-01-11,750000000.0,,18400000000.0,Closed,True,Primary,Likely
Anthropic,2024-03-27,4000000000.0,,,Closed,True,Primary,Likely
Anthropic,2024-11-24,4000000000.0,,,Closed,True,Primary,Likely
Anthropic,2025-03-01,1000000000.0,,,Closed,True,Primary,Likely
Anthropic,2025-03-03,3500000000.0,,61500000000.0,Closed,True,Primary,Confident
Anthropic,2025-09-02,13000000000.0,,183000000000.0,Closed,True,Primary,Confident
Anthropic,2026-02-12,30000000000.0,,380000000000.0,Closed,True,Primary,Confident
Anthropic,2026-04-20,5000000000.0,,380000000000.0,Closed,True,Primary,Likely
Anthropic,2026-04-24,10000000000.0,,380000000000.0,Closed,True,Primary,Confident
Anthropic,2026-05-28,65000000000.0,,965000000000.0,Closed,True,Primary,Confident
DeepSeek,2026-06-16,7500000000.0,,50000000000.0,Closed,True,Primary,Likely
MiniMax,2026-01-08,619000000.0,,6500000000.0,Closed,True,Primary,Confident
MiniMax,2026-03-31,,,37200000000.0,Closed,True,Other,Confident
Mistral AI,2023-06-13,113000000.0,,260000000.0,Closed,True,Primary,Confident
Mistral AI,2023-12-11,415000000.0,,2000000000.0,Closed,True,Primary,Likely
Mistral AI,2024-02-27,16300000.0,,2000000000.0,Closed,True,Primary,Likely
Mistral AI,2024-06-11,500000000.0,140000000.0,6000000000.0,Closed,True,"Primary,Debt",Confident
Mistral AI,2025-09-09,1990000000.0,,13700000000.0,Closed,True,Primary,Confident
OpenAI,2019-03-11,50000000.0,,,Closed,True,Primary,Likely
OpenAI,2019-03-11,,,,Closed,True,Primary,Likely
OpenAI,2019-07-22,1000000000.0,,,Closed,True,Primary,Confident
OpenAI,2021-03-15,2000000000.0,,,Closed,True,Primary,Likely
OpenAI,2021-07-01,0.0,,14000000000.0,Closed,True,Secondary,Uncertain
OpenAI,2023-01-23,10000000000.0,,,Closed,True,Primary,Likely
OpenAI,2023-04-26,300000000.0,,27000000000.0,Closed,True,Primary,Confident
OpenAI,2024-02-16,0.0,,80000000000.0,Closed,True,Secondary,Likely
OpenAI,2024-10-02,6600000000.0,4000000000.0,157000000000.0,Closed,True,Primary,Confident
OpenAI,2025-03-31,10000000000.0,,300000000000.0,Closed,True,Primary,Likely
OpenAI,2025-08-01,8300000000.0,,300000000000.0,Closed,True,Primary,Likely
OpenAI,2025-10-01,0.0,,500000000000.0,Closed,True,Secondary,Confident
OpenAI,2025-12-30,22500000000.0,,,Closed,True,Primary,Likely
OpenAI,2026-02-27,110000000000.0,,840000000000.0,Closed,True,Primary,Confident
OpenAI,2026-03-31,12000000000.0,,852000000000.0,Closed,True,Primary,Confident
Z.ai (Zhipu),2026-01-08,558000000.0,,6600000000.0,Closed,True,Primary,Confident
Z.ai (Zhipu),2026-03-31,,,39400000000.0,Closed,True,Other,Confident
xAI,2024-05-27,6000000000.0,,24000000000.0,Closed,True,Primary,Confident
xAI,2024-11-20,6000000000.0,,45000000000.0,Closed,True,Primary,Confident
xAI,2025-03-28,0.0,,113000000000.0,Closed,True,Other,Confident
xAI,2025-06-30,5000000000.0,5000000000.0,150000000000.0,Closed,True,"Primary,Debt",Likely
xAI,2026-01-06,20000000000.0,,230000000000.0,Closed,True,Primary,Likely
