company,date,revenue_usd,revenue_type,scope,confidence,source_type,annualised_from_period
Anthropic,2023-10-01,100000000.0,Annualized run rate,Full company,Likely,Media report,False
Anthropic,2024-01-01,87000000.0,Annualized run rate,Full company,Confident,Company disclosure,False
Anthropic,2024-12-31,1000000000.0,Annualized run rate,Full company,Likely,Media report,False
Anthropic,2025-03-01,1400000000.0,Annualized run rate,Full company,Likely,Media report,False
Anthropic,2025-03-31,2000000000.0,Annualized run rate,Full company,Confident,Company disclosure,False
Anthropic,2025-05-30,3000000000.0,Annualized run rate,Full company,Likely,Media report,False
Anthropic,2025-07-01,4000000000.0,Annualized run rate,Full company,Likely,Media report,False
Anthropic,2025-07-29,5000000000.0,Annual recurring revenue (ARR),Full company,Likely,Company disclosure,False
Anthropic,2025-10-21,7000000000.0,Annualized run rate,Full company,Confident,Company disclosure,False
Anthropic,2025-12-31,9000000000.0,Annualized run rate,Full company,Likely,Media report,False
Anthropic,2026-02-12,14000000000.0,Annualized run rate,Full company,Confident,Company disclosure,False
Anthropic,2026-03-03,19000000000.0,Annualized run rate,Full company,Confident,"Company disclosure,Media report",False
Anthropic,2026-04-06,30000000000.0,Annualized run rate,Full company,Confident,Company disclosure,False
Anthropic,2026-05-15,47000000000.0,Annualized run rate,Full company,Likely,Company disclosure,False
Anthropic,2026-07-31,65000000000.0,Annualized run rate,Full company,Likely,Media report,False
Cohere,2023-12-31,13000000.0,Annualized run rate,Full company,Likely,Media report,False
Cohere,2024-03-15,22000000.0,Annualized run rate,Full company,Likely,Media report,False
Cohere,2025-02-24,70000000.0,Annualized run rate,Full company,Likely,Media report,False
Cohere,2025-05-15,100000000.0,Annualized run rate,Full company,Likely,Media report,False
Cohere,2025-10-20,150000000.0,Annualized run rate,Full company,Confident,Company disclosure,False
Cohere,2025-12-31,240000000.0,Annual recurring revenue (ARR),Full company,Likely,Media report,False
DeepSeek,2026-07-14,450000000.0,Annualized run rate,Full company,Likely,Media report,False
Mistral AI,2025-06-11,100000000.0,Annualized run rate,Full company,Confident,Company disclosure,False
Mistral AI,2026-01-31,400000000.0,Annualized run rate,Full company,Likely,Media report,False
Moonshot AI,2026-04-30,200000000.0,Annual recurring revenue (ARR),Full company,Likely,Media report,False
Moonshot AI,2026-06-30,300000000.0,Annual recurring revenue (ARR),Full company,Likely,Media report,False
OpenAI,2023-03-01,200000000.0,Annualized run rate,Full company,Likely,Media report,False
OpenAI,2023-08-29,1000000000.0,Annualized run rate,Full company,Likely,Media report,False
OpenAI,2023-10-10,1300000000.0,Annualized run rate,Full company,Likely,Media report,False
OpenAI,2023-12-30,1600000000.0,Annualized run rate,Full company,Confident,Media report,False
OpenAI,2023-12-31,2000000000.0,Annualized run rate,Full company,Likely,Media report,False
OpenAI,2024-06-12,3400000000.0,Annualized run rate,Full company,Likely,Media report,False
OpenAI,2024-08-15,3600000000.0,Annualized run rate,Full company,Likely,Media report,False
OpenAI,2024-09-12,4000000000.0,Annual recurring revenue (ARR),Full company,Likely,Media report,False
OpenAI,2024-12-31,5500000000.0,Annual recurring revenue (ARR),Full company,Likely,Media report,False
OpenAI,2025-06-09,10000000000.0,Annual recurring revenue (ARR),Full company,Likely,Company disclosure,False
OpenAI,2025-07-30,12000000000.0,Annualized run rate,Full company,Confident,Company disclosure,False
OpenAI,2025-08-01,13000000000.0,Annual recurring revenue (ARR),Full company,Likely,Media report,False
OpenAI,2025-12-18,19000000000.0,Annualized run rate,Full company,Likely,Media report,False
OpenAI,2025-12-31,21400000000.0,Annualized run rate,Full company,Likely,Media report,False
OpenAI,2026-02-28,25000000000.0,Annualized run rate,Full company,Likely,Media report,False
OpenAI,2026-08-13,40000000000.0,Annualized run rate,Full company,Likely,Media report,False
Z.ai (Zhipu),2022-07-01,8600000.0,Period interpolation,Full company,Likely,Company disclosure,True
Z.ai (Zhipu),2023-07-01,17600000.0,Period interpolation,Full company,Likely,Company disclosure,True
Z.ai (Zhipu),2024-04-01,12400000.0,Period interpolation,Full company,Likely,Company disclosure,True
Z.ai (Zhipu),2024-10-01,37500000.0,Period interpolation,Full company,Likely,Company disclosure,True
Z.ai (Zhipu),2025-04-01,53300000.0,Period interpolation,Full company,Likely,"Company disclosure,Other",True
Z.ai (Zhipu),2025-10-01,153000000.0,Period interpolation,Full company,Likely,"Company disclosure,Other",True
xAI,2024-11-20,100000000.0,Annualized run rate,Full company,Likely,Media report,False
xAI,2025-03-31,172000000.0,Period interpolation,Full company,Likely,Media report,True
xAI,2025-06-30,236000000.0,Period interpolation,Full company,Likely,Media report,True
xAI,2025-09-30,428000000.0,Period interpolation,Full company,Likely,Media report,True
