primary_company,sites,sites_with_mw,megawatts
Meta,19,17,15614.0
Amazon,45,34,14174.5
Microsoft,51,45,12217.0
Google,43,38,8407.0
O'Leary Ventures,1,1,7500.0
SoftBank,3,2,5150.0
G42,2,1,5000.0
Scala Data Centers,1,1,4750.0
Beacon AI Centers,1,1,4500.0
"Stock Farm Road, Inc.",1,1,3000.0
Vantage Data Centers,5,5,2904.0
xAI,1,1,2000.0
ExxonMobil,1,1,1500.0
DataVolt,1,1,1500.0
Elea Data Centers,1,1,1500.0
Romanian Ministry of Economy,1,1,1500.0
MGX,1,1,1400.0
OpenAI,4,1,1200.0
Kazakhstan Ministry of AI and Digital Development,1,1,1000.0
Oracle,10,6,960.0
Prologis,1,1,900.0
Constellation Energy,1,1,835.0
Alibaba,4,4,800.0
Naver,3,3,700.0
OpCore,1,1,700.0
AirTrunk,2,2,654.0
NextEra Energy,1,1,615.0
Equinix,10,10,601.0
ByteDance,3,3,550.0
Apple,3,3,520.0
ByteDance (TikTok),1,1,500.0
Digital Edge,1,1,500.0
YTL Power & NVIDIA,1,1,500.0
Bell Canada (BCE),1,1,500.0
Tesla,1,1,500.0
Aramco Digital,1,1,500.0
SDAIA (Saudi Data & AI Authority),1,1,480.0
Rolls-Royce,1,1,470.0
Huawei,2,2,450.0
Galaxy Data Center,1,1,404.0
NTT Data,1,1,400.0
Applied Digital,1,1,400.0
CloudHQ,1,1,360.0
Digital Realty,3,2,314.0
SoftBank Corp.,1,1,300.0
Bulk Data Centers,1,1,300.0
Hetzner Online GmbH,2,2,300.0
Datagrid New Zealand,1,1,280.0
ODATA (Aligned Data Centers),2,2,270.0
DAMAC Digital,1,1,250.0
NTT DATA,1,1,250.0
EcoDataCenter,1,1,250.0
"OpenAI, Nscale & Aker",1,1,230.0
True Internet Data Center,1,1,223.0
Scaleway,3,2,216.2
DC BLOX,1,1,216.0
Accelerated Infrastructure Capital (AIC) & Kinh Bac City (KBC),1,1,200.0
Humain,1,1,200.0
Saudi Telecom Company (stc),1,1,200.0
Khazna Data Centers,2,2,200.0
Google Cloud & Turkcell,1,1,200.0
Yandex,2,2,190.0
Start Campus,1,1,180.0
Reliance Industries,1,1,168.0
NEXTDC,1,1,160.0
Lambda Labs,1,1,150.0
CoreWeave,2,1,150.0
EDGNEX by DAMAC,1,1,144.0
Viettel Group,1,1,140.0
Nebius,2,2,125.0
Magnora & NEEG,1,1,120.0
Polarise,1,1,120.0
Pure Data Centre Group,1,1,110.0
SK Group,1,1,103.0
DeepSeek,1,1,100.0
ePLDT / VITRO Inc.,1,1,100.0
Foxconn (Hon Hai Technology Group) & NVIDIA,1,1,100.0
Crusoe Energy Systems,1,1,100.0
Asprofin Bank Corporation,1,1,100.0
Qai (QIA) & Brookfield Asset Management,1,1,100.0
Ethiopian AI Institute & International Investors,1,1,100.0
Firebird,1,1,100.0
Khazna Data Centers (G42),1,1,100.0
eStruxture Data Centres,1,1,90.0
Kakao,1,1,80.0
Tencent,1,1,80.0
Nebius & Mega Or,1,1,80.0
atNorth,1,1,80.0
Yotta Data Services,1,1,60.0
Cyberport,1,1,50.0
Singtel & NVIDIA,1,1,50.0
Oklo Inc.,1,1,50.0
AI71,1,1,50.0
Green Mountain AS,1,1,50.0
Sberbank (Sber),1,1,50.0
NVIDIA,4,2,41.0
Naver Cloud,1,1,40.0
Mistral AI,1,1,40.0
Argonne National Laboratory,1,1,38.7
King Abdullah University of Science and Technology (KAUST),1,1,35.0
Cerebras Systems,1,1,30.0
Ooredoo,1,1,30.0
Technology Innovation Institute (TII),1,1,30.0
OVHcloud,1,1,30.0
SAP,1,1,30.0
Lawrence Livermore National Laboratory,1,1,29.7
Yondr Group,1,1,27.0
Government of Egypt,1,1,25.0
Oak Ridge National Laboratory,1,1,24.6
Aleph Alpha,1,1,20.0
DigitalOcean,1,1,20.0
UK Research and Innovation (UKRI),1,1,20.0
SDS (Shonfeld Data Services),1,1,18.0
DataVolt (Saudi Arabia),1,1,12.0
Batelco (Beyon) & Qareeb Data Centers,1,1,10.0
Oman Data Park,1,1,10.0
Ooredoo Kuwait & NVIDIA,1,1,10.0
Raxio Group,1,1,10.0
Forschungszentrum Jülich,1,1,10.0
Barcelona Supercomputing Center,1,1,10.0
MTN Group,1,1,9.0
CSC – IT Center for Science,1,1,7.1
Aqaba Digital Hub,1,1,6.0
CINECA,1,1,6.0
LuxProvide,1,1,3.0
Sofia Tech Park,1,1,2.0
Centre for Development of Advanced Computing (C-DAC),1,0,0.0
National Institute of Advanced Industrial Science and Technology (AIST),1,0,0.0
Baidu,1,0,0.0
National Supercomputing Centre (NSCC) Singapore,1,0,0.0
SenseTime,1,0,0.0
SK Telecom,1,0,0.0
Tencent Holdings,1,0,0.0
Pacific Gas and Electric Company (PG&E),1,0,0.0
IBM,1,0,0.0
NEOM,1,0,0.0
Cassava Technologies,4,0,0.0
