country,sites,sites_with_mw,megawatts
United States,84,58,43572.5
Canada,8,8,12987.0
France,11,7,7370.2
Brazil,5,5,7064.0
United Arab Emirates,8,6,5480.0
South Korea,11,10,4153.0
Saudi Arabia,8,7,3015.0
Malaysia,7,7,2334.0
India,11,5,2228.0
Japan,10,9,2180.0
United Kingdom,9,9,2101.0
Romania,2,2,1600.0
Thailand,7,7,1547.0
Ireland,5,5,1448.0
Australia,8,7,1211.0
Mexico,4,4,1200.0
Sweden,4,4,1200.0
Indonesia,5,5,1194.0
Singapore,8,7,1120.0
China,7,4,1100.0
Germany,11,11,1025.0
Kazakhstan,1,1,1000.0
Netherlands,4,4,920.0
Norway,5,5,870.0
Denmark,3,3,680.0
Taiwan,5,5,660.0
Poland,2,2,600.0
Belgium,2,2,550.0
New Zealand,4,4,520.0
Morocco,2,1,500.0
Finland,5,5,467.1
South Africa,7,6,440.0
Vietnam,4,4,430.0
Spain,5,4,416.0
Philippines,3,3,410.0
Turkey,4,4,359.0
Italy,4,4,286.0
Portugal,2,2,260.0
Colombia,3,3,240.0
Russia,3,3,240.0
Qatar,3,3,230.0
Switzerland,2,2,230.0
Chile,3,3,200.0
Israel,5,4,183.0
Austria,2,2,180.0
Hong Kong,2,2,150.0
Egypt,3,2,125.0
Ethiopia,1,1,100.0
Kenya,1,1,100.0
Armenia,1,1,100.0
Kuwait,3,3,90.0
Argentina,2,2,90.0
Iceland,1,1,80.0
Greece,2,2,80.0
Bahrain,2,2,70.0
Nigeria,4,3,60.0
Czech Republic,1,1,50.0
Peru,1,1,40.0
Uzbekistan,1,1,12.0
Oman,1,1,10.0
Tanzania,1,1,10.0
Jordan,1,1,6.0
Luxembourg,1,1,3.0
Bulgaria,1,1,2.0
