date,chip_type,units
2023-01-01,Trainium2,0.0
2023-04-01,Trainium2,0.0
2023-07-01,Trainium2,0.0
2023-10-01,Trainium2,0.0
2024-01-01,Trainium2,0.0
2024-04-01,Trainium2,0.0
2024-07-01,Trainium2,0.0
2024-10-01,Trainium2,0.0
2025-01-01,Trainium2,295326.0
2025-04-01,Trainium2,295326.0
2025-07-01,Trainium2,1079081.0
2025-10-01,Trainium2,1108405.0
2026-01-01,Trainium2,1404643.0
2026-04-01,Trainium2,1833598.0
2026-07-01,Trainium2,2120436.0
2026-10-01,Trainium2,2154647.0
2027-01-01,Trainium2,2154647.0
2027-04-01,Trainium2,2154647.0
2027-07-01,Trainium2,2257023.0
2027-10-01,Trainium2,2257023.0
2028-01-01,Trainium2,2257023.0
2028-04-01,Trainium2,2714200.0
2028-07-01,Trainium2,2714200.0
2028-10-01,Trainium2,2714200.0
2029-01-01,Trainium2,2714200.0
2029-04-01,Trainium2,2714200.0
2029-07-01,Trainium2,2714200.0
2029-10-01,Trainium2,2714200.0
2030-01-01,Trainium2,2714200.0
2023-01-01,Trainium3,0.0
2023-04-01,Trainium3,0.0
2023-07-01,Trainium3,0.0
2023-10-01,Trainium3,0.0
2024-01-01,Trainium3,0.0
2024-04-01,Trainium3,0.0
2024-07-01,Trainium3,0.0
2024-10-01,Trainium3,0.0
2025-01-01,Trainium3,0.0
2025-04-01,Trainium3,0.0
2025-07-01,Trainium3,0.0
2025-10-01,Trainium3,0.0
2026-01-01,Trainium3,0.0
2026-04-01,Trainium3,0.0
2026-07-01,Trainium3,0.0
2026-10-01,Trainium3,0.0
2027-01-01,Trainium3,0.0
2027-04-01,Trainium3,0.0
2027-07-01,Trainium3,0.0
2027-10-01,Trainium3,34211.0
2028-01-01,Trainium3,34211.0
2028-04-01,Trainium3,34211.0
2028-07-01,Trainium3,34211.0
2028-10-01,Trainium3,536603.0
2029-01-01,Trainium3,536603.0
2029-04-01,Trainium3,536603.0
2029-07-01,Trainium3,536603.0
2029-10-01,Trainium3,536603.0
2030-01-01,Trainium3,536603.0
2023-01-01,B200,0.0
2023-04-01,B200,0.0
2023-07-01,B200,0.0
2023-10-01,B200,0.0
2024-01-01,B200,0.0
2024-04-01,B200,0.0
2024-07-01,B200,0.0
2024-10-01,B200,0.0
