equipment,manufacturer,area_m2,capacity_kw
Cooling tower (wet),BAC,18.35,1001.0
Cooling tower (wet),BAC,15.89,1005.0
Cooling tower (wet),BAC,14.28,1010.0
Cooling tower (wet),BAC,18.86,1014.0
Cooling tower (wet),BAC,14.28,1023.0
Cooling tower (wet),BAC,12.37,1023.0
Cooling tower (wet),BAC,8.95,1036.0
Cooling tower (wet),BAC,20.35,1049.0
Cooling tower (wet),BAC,17.37,1058.0
Cooling tower (wet),BAC,15.89,1067.0
Cooling tower (wet),BAC,18.35,1071.0
Cooling tower (wet),BAC,12.63,1084.0
Cooling tower (wet),BAC,18.86,1089.0
Cooling tower (wet),BAC,19.79,1106.0
Cooling tower (wet),BAC,11.32,1111.0
Cooling tower (wet),BAC,17.37,1119.0
Cooling tower (wet),BAC,14.28,1124.0
Cooling tower (wet),BAC,14.28,1124.0
Cooling tower (wet),BAC,20.35,1128.0
Cooling tower (wet),BAC,14.28,1150.0
Cooling tower (wet),BAC,18.86,1155.0
Cooling tower (wet),BAC,15.89,1155.0
Cooling tower (wet),BAC,12.37,1159.0
Cooling tower (wet),BAC,18.35,1190.0
Cooling tower (wet),BAC,20.35,1194.0
Cooling tower (wet),BAC,11.32,1212.0
Cooling tower (wet),BAC,17.37,1212.0
Cooling tower (wet),BAC,19.79,1216.0
Cooling tower (wet),BAC,18.35,1225.0
Cooling tower (wet),BAC,23.73,1225.0
Cooling tower (wet),BAC,12.63,1238.0
Cooling tower (wet),BAC,18.86,1251.0
Cooling tower (wet),BAC,15.89,1260.0
Cooling tower (wet),BAC,14.28,1264.0
Cooling tower (wet),BAC,12.37,1269.0
Cooling tower (wet),BAC,24.67,1277.0
Cooling tower (wet),BAC,14.28,1282.0
Cooling tower (wet),BAC,14.28,1286.0
Cooling tower (wet),BAC,20.35,1295.0
Cooling tower (wet),BAC,17.37,1326.0
Cooling tower (wet),BAC,26.9,1339.0
Cooling tower (wet),BAC,18.35,1348.0
Cooling tower (wet),BAC,12.63,1357.0
Cooling tower (wet),BAC,12.37,1361.0
Cooling tower (wet),BAC,18.35,1361.0
Cooling tower (wet),BAC,18.86,1365.0
Cooling tower (wet),BAC,15.95,1387.0
Cooling tower (wet),BAC,29.13,1396.0
Cooling tower (wet),BAC,19.79,1396.0
Cooling tower (wet),BAC,23.73,1396.0
Cooling tower (wet),BAC,24.67,1400.0
Cooling tower (wet),BAC,14.28,1405.0
Cooling tower (wet),BAC,14.28,1414.0
Cooling tower (wet),BAC,20.35,1418.0
Cooling tower (wet),BAC,15.89,1440.0
Cooling tower (wet),BAC,14.28,1444.0
Cooling tower (wet),BAC,31.35,1444.0
Cooling tower (wet),BAC,12.63,1457.0
Cooling tower (wet),BAC,26.9,1471.0
Cooling tower (wet),BAC,18.35,1493.0
Cooling tower (wet),BAC,17.37,1510.0
Cooling tower (wet),BAC,15.95,1519.0
Cooling tower (wet),BAC,29.13,1528.0
Cooling tower (wet),BAC,18.35,1537.0
Cooling tower (wet),BAC,23.73,1537.0
Cooling tower (wet),BAC,23.73,1554.0
Cooling tower (wet),BAC,18.86,1558.0
Cooling tower (wet),BAC,15.89,1572.0
Cooling tower (wet),BAC,31.35,1585.0
Cooling tower (wet),BAC,14.28,1585.0
Cooling tower (wet),BAC,14.28,1602.0
Cooling tower (wet),BAC,24.67,1607.0
Cooling tower (wet),BAC,20.35,1616.0
Cooling tower (wet),BAC,19.79,1637.0
Cooling tower (wet),BAC,17.37,1651.0
Cooling tower (wet),BAC,18.07,1659.0
Cooling tower (wet),BAC,15.89,1681.0
Cooling tower (wet),BAC,18.35,1686.0
Cooling tower (wet),BAC,26.9,1690.0
Cooling tower (wet),BAC,18.86,1699.0
Cooling tower (wet),BAC,14.28,1703.0
Cooling tower (wet),BAC,18.35,1703.0
Cooling tower (wet),BAC,23.73,1708.0
Cooling tower (wet),BAC,31.32,1738.0
Cooling tower (wet),BAC,15.95,1738.0
Cooling tower (wet),BAC,23.73,1752.0
Cooling tower (wet),BAC,14.28,1756.0
Cooling tower (wet),BAC,20.35,1760.0
Cooling tower (wet),BAC,15.89,1760.0
Cooling tower (wet),BAC,29.13,1760.0
Cooling tower (wet),BAC,17.37,1765.0
Cooling tower (wet),BAC,14.28,1782.0
Cooling tower (wet),BAC,18.35,1809.0
Cooling tower (wet),BAC,18.86,1817.0
Cooling tower (wet),BAC,31.35,1822.0
Cooling tower (wet),BAC,17.37,1848.0
Cooling tower (wet),BAC,18.35,1866.0
Cooling tower (wet),BAC,19.79,1875.0
Cooling tower (wet),BAC,14.28,1883.0
Cooling tower (wet),BAC,20.35,1883.0
Cooling tower (wet),BAC,24.67,1888.0
Cooling tower (wet),BAC,18.07,1905.0
Cooling tower (wet),BAC,18.86,1905.0
Cooling tower (wet),BAC,31.32,1910.0
Cooling tower (wet),BAC,18.35,1914.0
Cooling tower (wet),BAC,23.73,1923.0
Cooling tower (wet),BAC,23.73,1949.0
Cooling tower (wet),BAC,22.86,1958.0
Cooling tower (wet),BAC,20.35,1971.0
Cooling tower (wet),BAC,14.28,1980.0
Cooling tower (wet),BAC,26.9,1980.0
Cooling tower (wet),BAC,18.35,2006.0
Cooling tower (wet),BAC,17.37,2015.0
Cooling tower (wet),BAC,19.79,2046.0
Cooling tower (wet),BAC,29.13,2063.0
Cooling tower (wet),BAC,23.73,2068.0
Cooling tower (wet),BAC,18.07,2072.0
Cooling tower (wet),BAC,18.86,2098.0
Cooling tower (wet),BAC,18.35,2125.0
Cooling tower (wet),BAC,14.28,2125.0
Cooling tower (wet),BAC,31.35,2134.0
Cooling tower (wet),BAC,23.73,2138.0
Cooling tower (wet),BAC,24.67,2151.0
Cooling tower (wet),BAC,23.73,2155.0
Cooling tower (wet),BAC,20.35,2173.0
Cooling tower (wet),BAC,31.32,2182.0
Cooling tower (wet),BAC,23.73,2195.0
Cooling tower (wet),BAC,19.79,2199.0
Cooling tower (wet),BAC,22.86,2221.0
Cooling tower (wet),BAC,26.9,2256.0
Cooling tower (wet),BAC,23.73,2296.0
Cooling tower (wet),BAC,24.99,2318.0
Cooling tower (wet),BAC,23.73,2318.0
Cooling tower (wet),BAC,18.35,2327.0
Cooling tower (wet),BAC,24.67,2349.0
Cooling tower (wet),BAC,29.13,2353.0
Cooling tower (wet),BAC,31.32,2393.0
Cooling tower (wet),BAC,23.73,2393.0
Cooling tower (wet),BAC,22.86,2423.0
Cooling tower (wet),BAC,23.73,2432.0
Cooling tower (wet),BAC,31.35,2436.0
Cooling tower (wet),BAC,23.73,2454.0
Cooling tower (wet),BAC,26.9,2463.0
Cooling tower (wet),BAC,25.45,2476.0
Cooling tower (wet),BAC,24.67,2511.0
Cooling tower (wet),BAC,24.99,2537.0
Cooling tower (wet),BAC,29.13,2564.0
Cooling tower (wet),BAC,31.32,2568.0
Cooling tower (wet),BAC,28.98,2568.0
Cooling tower (wet),BAC,23.73,2634.0
Cooling tower (wet),BAC,26.9,2634.0
Cooling tower (wet),BAC,31.35,2656.0
Cooling tower (wet),BAC,24.67,2660.0
Cooling tower (wet),BAC,23.73,2665.0
Cooling tower (wet),BAC,23.73,2682.0
Cooling tower (wet),BAC,25.45,2713.0
Cooling tower (wet),BAC,24.99,2722.0
Cooling tower (wet),BAC,23.73,2722.0
Cooling tower (wet),BAC,31.32,2726.0
Cooling tower (wet),BAC,29.13,2744.0
Cooling tower (wet),BAC,26.9,2761.0
Cooling tower (wet),BAC,28.98,2823.0
Cooling tower (wet),BAC,23.73,2832.0
Cooling tower (wet),BAC,31.35,2840.0
Cooling tower (wet),BAC,23.73,2862.0
Cooling tower (wet),BAC,23.73,2875.0
Cooling tower (wet),BAC,29.13,2875.0
Cooling tower (wet),BAC,31.99,2880.0
Cooling tower (wet),BAC,23.73,2884.0
Cooling tower (wet),BAC,28.98,2889.0
Cooling tower (wet),BAC,25.45,2915.0
Cooling tower (wet),BAC,31.35,2976.0
Cooling tower (wet),BAC,23.73,2976.0
Cooling tower (wet),BAC,31.32,2985.0
Cooling tower (wet),BAC,23.73,3029.0
Cooling tower (wet),BAC,31.32,3033.0
Cooling tower (wet),BAC,23.73,3042.0
Cooling tower (wet),BAC,26.9,3047.0
Cooling tower (wet),BAC,23.73,3086.0
Cooling tower (wet),BAC,23.73,3099.0
Cooling tower (wet),BAC,31.99,3143.0
Cooling tower (wet),BAC,31.32,3148.0
Cooling tower (wet),BAC,29.13,3170.0
Cooling tower (wet),BAC,28.98,3174.0
Cooling tower (wet),BAC,23.73,3192.0
Cooling tower (wet),BAC,31.32,3200.0
Cooling tower (wet),BAC,23.73,3266.0
Cooling tower (wet),BAC,31.35,3279.0
Cooling tower (wet),BAC,34.99,3301.0
Cooling tower (wet),BAC,31.32,3314.0
Cooling tower (wet),BAC,23.73,3319.0
Cooling tower (wet),BAC,23.73,3323.0
Cooling tower (wet),BAC,31.99,3363.0
Cooling tower (wet),BAC,37.01,3367.0
Cooling tower (wet),BAC,23.73,3376.0
Cooling tower (wet),BAC,31.32,3389.0
Cooling tower (wet),BAC,37.98,3398.0
Cooling tower (wet),BAC,28.98,3407.0
Cooling tower (wet),BAC,31.32,3437.0
Cooling tower (wet),BAC,23.73,3508.0
Cooling tower (wet),BAC,28.98,3512.0
Cooling tower (wet),BAC,31.99,3521.0
Cooling tower (wet),BAC,40.97,3521.0
Cooling tower (wet),BAC,34.99,3530.0
Cooling tower (wet),BAC,31.32,3547.0
Cooling tower (wet),BAC,23.73,3556.0
Cooling tower (wet),BAC,23.73,3565.0
Cooling tower (wet),BAC,28.98,3569.0
Cooling tower (wet),BAC,31.32,3587.0
Cooling tower (wet),BAC,37.01,3613.0
Cooling tower (wet),BAC,37.98,3635.0
Cooling tower (wet),BAC,31.32,3679.0
Cooling tower (wet),BAC,23.73,3683.0
Cooling tower (wet),BAC,34.99,3696.0
Cooling tower (wet),BAC,37.01,3736.0
Cooling tower (wet),BAC,39.76,3749.0
Cooling tower (wet),BAC,31.32,3749.0
Cooling tower (wet),BAC,23.73,3758.0
Cooling tower (wet),BAC,40.97,3767.0
Cooling tower (wet),BAC,28.98,3767.0
Cooling tower (wet),BAC,37.98,3811.0
Cooling tower (wet),BAC,23.73,3815.0
Cooling tower (wet),BAC,23.73,3828.0
Cooling tower (wet),BAC,37.01,3828.0
Cooling tower (wet),BAC,31.32,3837.0
Cooling tower (wet),BAC,47.96,3850.0
Cooling tower (wet),BAC,31.32,3885.0
Cooling tower (wet),BAC,23.73,3938.0
Cooling tower (wet),BAC,40.97,3942.0
Cooling tower (wet),BAC,28.98,3964.0
Cooling tower (wet),BAC,37.01,4008.0
Cooling tower (wet),BAC,23.73,4021.0
Cooling tower (wet),BAC,23.73,4026.0
Cooling tower (wet),BAC,34.99,4030.0
Cooling tower (wet),BAC,31.32,4056.0
Cooling tower (wet),BAC,31.32,4087.0
Cooling tower (wet),BAC,39.76,4091.0
Cooling tower (wet),BAC,23.73,4096.0
Cooling tower (wet),BAC,47.96,4135.0
Cooling tower (wet),BAC,23.73,4157.0
Cooling tower (wet),BAC,37.98,4197.0
Cooling tower (wet),BAC,31.32,4236.0
Cooling tower (wet),BAC,28.98,4250.0
Cooling tower (wet),BAC,37.01,4250.0
Cooling tower (wet),BAC,49.56,4302.0
Cooling tower (wet),BAC,23.73,4307.0
Cooling tower (wet),BAC,23.73,4324.0
Cooling tower (wet),BAC,40.97,4346.0
Cooling tower (wet),BAC,31.32,4368.0
Cooling tower (wet),BAC,47.96,4386.0
Cooling tower (wet),BAC,39.76,4399.0
Cooling tower (wet),BAC,31.32,4421.0
Cooling tower (wet),BAC,23.73,4447.0
Cooling tower (wet),BAC,31.32,4526.0
Cooling tower (wet),BAC,47.96,4592.0
Cooling tower (wet),BAC,31.32,4610.0
Cooling tower (wet),BAC,23.73,4636.0
Cooling tower (wet),BAC,37.01,4653.0
Cooling tower (wet),BAC,49.56,4697.0
Cooling tower (wet),BAC,31.32,4719.0
Cooling tower (wet),BAC,31.32,4776.0
Cooling tower (wet),BAC,47.96,4869.0
Cooling tower (wet),BAC,31.32,4921.0
Cooling tower (wet),BAC,54.04,4926.0
Cooling tower (wet),BAC,31.32,4978.0
Cooling tower (wet),BAC,49.56,5022.0
Cooling tower (wet),BAC,23.73,5035.0
Cooling tower (wet),BAC,31.32,5097.0
Cooling tower (wet),BAC,58.52,5128.0
Cooling tower (wet),BAC,54.04,5268.0
Cooling tower (wet),BAC,31.32,5299.0
Cooling tower (wet),BAC,63.0,5312.0
Cooling tower (wet),BAC,49.56,5321.0
Cooling tower (wet),BAC,31.32,5334.0
Cooling tower (wet),BAC,47.96,5334.0
Cooling tower (wet),BAC,63.02,5448.0
Cooling tower (wet),BAC,58.52,5488.0
Cooling tower (wet),BAC,31.32,5488.0
Cooling tower (wet),BAC,54.04,5523.0
Cooling tower (wet),BAC,63.0,5681.0
Cooling tower (wet),BAC,47.96,5720.0
Cooling tower (wet),BAC,31.32,5720.0
Cooling tower (wet),BAC,58.52,5751.0
Cooling tower (wet),BAC,63.0,5953.0
Cooling tower (wet),BAC,63.02,5970.0
Cooling tower (wet),BAC,31.32,6032.0
Cooling tower (wet),BAC,47.96,6058.0
Cooling tower (wet),BAC,54.04,6093.0
Cooling tower (wet),BAC,31.32,6120.0
Cooling tower (wet),BAC,58.52,6339.0
Cooling tower (wet),BAC,63.02,6405.0
Cooling tower (wet),BAC,63.0,6559.0
Cooling tower (wet),BAC,47.96,6646.0
Cooling tower (wet),BAC,63.02,6783.0
Cooling tower (wet),BAC,47.96,7116.0
Cooling tower (wet),BAC,47.96,7129.0
Cooling tower (wet),BAC,47.96,7366.0
Cooling tower (wet),BAC,47.96,7516.0
Cooling tower (wet),BAC,47.96,7625.0
Cooling tower (wet),BAC,47.96,7656.0
Cooling tower (wet),BAC,47.96,7876.0
Cooling tower (wet),BAC,47.96,8042.0
Cooling tower (wet),BAC,47.96,8056.0
Cooling tower (wet),BAC,47.96,8192.0
Cooling tower (wet),BAC,47.96,8319.0
Cooling tower (wet),BAC,47.96,8609.0
Cooling tower (wet),BAC,47.96,8648.0
Cooling tower (wet),BAC,63.02,8732.0
Cooling tower (wet),BAC,47.96,8890.0
Cooling tower (wet),BAC,63.02,9052.0
Cooling tower (wet),BAC,63.02,9215.0
Cooling tower (wet),BAC,47.96,9272.0
Cooling tower (wet),BAC,63.02,9439.0
Cooling tower (wet),BAC,63.02,9548.0
Cooling tower (wet),BAC,63.02,9842.0
Cooling tower (wet),BAC,63.02,9957.0
Cooling tower (wet),BAC,47.96,10071.0
