dataset,dataset_label,field,field_in_release,models,models_dated,records,share_of_dated
notable,Notable AI models,training_compute_flop,True,1043,1043,534,0.5119846596356663
notable,Notable AI models,parameters,True,1043,1043,714,0.6845637583892618
notable,Notable AI models,training_dataset_size,True,1043,1043,662,0.6347075743048898
notable,Notable AI models,training_cost_2023usd,True,1043,1043,180,0.1725790987535954
notable,Notable AI models,training_time_hours,True,1043,1043,242,0.23202301054650049
notable,Notable AI models,training_power_draw_w,True,1043,1043,217,0.2080536912751678
notable,Notable AI models,hardware_quantity,True,1043,1043,251,0.24065196548418025
notable,Notable AI models,citations,True,1043,1043,620,0.5944391179290508
notable,Notable AI models,training_hardware,True,1043,1043,365,0.34995206136145734
notable,Notable AI models,org_category,True,1043,1043,1024,0.9817833173537871
notable,Notable AI models,country,True,1043,1043,1025,0.9827420901246404
notable,Notable AI models,domain,True,1043,1043,1039,0.9961649089165868
notable,Notable AI models,open_weights,True,1043,1043,784,0.7516778523489933
frontier,Frontier AI models,training_compute_flop,True,137,137,126,0.9197080291970803
frontier,Frontier AI models,parameters,True,137,137,107,0.781021897810219
frontier,Frontier AI models,training_dataset_size,True,137,137,109,0.7956204379562044
frontier,Frontier AI models,training_cost_2023usd,True,137,137,66,0.48175182481751827
frontier,Frontier AI models,training_time_hours,True,137,137,56,0.40875912408759124
frontier,Frontier AI models,training_power_draw_w,True,137,137,39,0.2846715328467153
frontier,Frontier AI models,hardware_quantity,True,137,137,49,0.35766423357664234
frontier,Frontier AI models,citations,True,137,137,80,0.583941605839416
frontier,Frontier AI models,training_hardware,True,137,137,59,0.4306569343065693
frontier,Frontier AI models,org_category,False,137,137,0,0.0
frontier,Frontier AI models,country,True,137,137,129,0.9416058394160584
frontier,Frontier AI models,domain,True,137,137,136,0.9927007299270073
frontier,Frontier AI models,open_weights,True,137,137,74,0.5401459854014599
large_scale,Large-scale AI models,training_compute_flop,True,524,524,314,0.5992366412213741
large_scale,Large-scale AI models,parameters,True,524,524,356,0.6793893129770993
large_scale,Large-scale AI models,training_dataset_size,False,524,524,0,0.0
large_scale,Large-scale AI models,training_cost_2023usd,False,524,524,0,0.0
large_scale,Large-scale AI models,training_time_hours,True,524,524,70,0.13358778625954199
large_scale,Large-scale AI models,training_power_draw_w,False,524,524,0,0.0
large_scale,Large-scale AI models,hardware_quantity,True,524,524,101,0.19274809160305342
large_scale,Large-scale AI models,citations,True,524,524,74,0.14122137404580154
large_scale,Large-scale AI models,training_hardware,True,524,524,179,0.3416030534351145
large_scale,Large-scale AI models,org_category,False,524,524,0,0.0
large_scale,Large-scale AI models,country,True,524,524,524,1.0
large_scale,Large-scale AI models,domain,True,524,524,520,0.9923664122137404
large_scale,Large-scale AI models,open_weights,False,524,524,0,0.0
all,All AI models,training_compute_flop,True,3574,3557,1402,0.39415237559741356
all,All AI models,parameters,True,3574,3557,2323,0.6530784368850154
all,All AI models,training_dataset_size,True,3574,3557,1401,0.39387123980882766
all,All AI models,training_cost_2023usd,True,3574,3557,225,0.06325555243182457
all,All AI models,training_time_hours,True,3574,3557,554,0.15574922687658138
all,All AI models,training_power_draw_w,True,3574,3557,773,0.21731796457689065
all,All AI models,hardware_quantity,True,3574,3557,845,0.2375597413550745
all,All AI models,citations,True,3574,3557,1447,0.4068034860837785
all,All AI models,training_hardware,True,3574,3557,1185,0.3331459094742761
all,All AI models,org_category,True,3574,3557,3469,0.975260050604442
all,All AI models,country,True,3574,3557,3481,0.9786336800674726
all,All AI models,domain,True,3574,3557,3481,0.9786336800674726
all,All AI models,open_weights,True,3574,3557,2705,0.7604723081248242
