metric,since,n,oom_per_year,intercept_log10,doubling_time_months,growth_per_year,r_squared,x_min,x_max,dataset,dataset_label,era
training_compute_flop,1950,534,0.3276835613687628,-641.061445811254,11.023927879929747,2.126588991454057,0.760749703316352,1950.498288843258,2026.577686516085,notable,Notable AI models,all records
training_compute_flop,2010,472,0.6314552798608714,-1254.9974955467462,5.72069006812911,4.280113441646413,0.6518039474861592,2010.3613963039015,2026.577686516085,notable,Notable AI models,deep learning era
parameters,1950,714,0.15893421609101405,-312.11045481863835,22.728648599488157,1.4418969264599046,0.6006741661888191,1950.498288843258,2026.577686516085,notable,Notable AI models,all records
parameters,2010,634,0.34081755938997554,-679.7211991661511,10.59910162619991,2.1918839642822157,0.525870414211435,2010.0,2026.577686516085,notable,Notable AI models,deep learning era
training_dataset_size,1950,662,0.18048346358503206,-355.46464562275247,20.014908159527124,1.5152471072898548,0.447989405433472,1950.498288843258,2026.5338809034909,notable,Notable AI models,all records
training_dataset_size,2010,567,0.46647311042661055,-933.1755206117705,7.743983237670676,2.9273396179718936,0.4283325601896494,2010.0054757015744,2026.5338809034909,notable,Notable AI models,deep learning era
training_cost_2023usd,2012,180,0.3650766050489325,-733.3829239153666,9.894799880380164,2.31780345043817,0.358376461509621,2012.4216290212185,2026.5722108145105,notable,Notable AI models,all records
training_cost_2023usd,2010,180,0.3650766050489325,-733.3829239153666,9.894799880380164,2.31780345043817,0.358376461509621,2012.4216290212185,2026.5722108145105,notable,Notable AI models,deep learning era
training_power_draw_w,2009,217,0.24035295206304444,-481.16033031973404,15.029397046973878,1.7392137172856674,0.2662297695538113,2009.0,2026.4873374401095,notable,Notable AI models,all records
training_power_draw_w,2010,216,0.2508551197551106,-502.3984846186468,14.400184263706583,1.7817842666773704,0.2650395956006879,2011.3230663928816,2026.4873374401095,notable,Notable AI models,deep learning era
training_compute_flop,1950,126,0.3134905114109884,-611.2789774050071,11.523028023109585,2.058213921609317,0.890239103693499,1950.498288843258,2025.517453798768,frontier,Frontier AI models,all records
training_compute_flop,2010,84,0.6647555498417368,-1320.195936008419,5.434117772808058,4.621208354785558,0.9724418957169229,2010.7337440109513,2025.517453798768,frontier,Frontier AI models,deep learning era
parameters,1950,107,0.15834779131550036,-310.1835964877018,22.812821814295603,1.4399512571182922,0.756077243412759,1950.498288843258,2025.517453798768,frontier,Frontier AI models,all records
parameters,2010,70,0.38234659920332487,-762.3353089724948,9.447867342078249,2.411829479599963,0.6778723375413709,2010.7337440109513,2025.517453798768,frontier,Frontier AI models,deep learning era
training_dataset_size,1950,109,0.16872247772046287,-330.88021113807105,21.410069344481084,1.4747638304932018,0.6847197829336893,1950.498288843258,2025.2573579739903,frontier,Frontier AI models,all records
training_dataset_size,2010,71,0.437192966663837,-872.6578527639161,8.2626213672494,2.736484336866559,0.5849030028157425,2010.7337440109513,2025.2573579739903,frontier,Frontier AI models,deep learning era
training_cost_2023usd,2012,66,0.5279267333161177,-1061.224124331461,6.842540299630415,3.372304121536566,0.9005423025650907,2012.4216290212185,2025.517453798768,frontier,Frontier AI models,all records
training_cost_2023usd,2010,66,0.5279267333161177,-1061.224124331461,6.842540299630415,3.372304121536566,0.9005423025650907,2012.4216290212185,2025.517453798768,frontier,Frontier AI models,deep learning era
training_power_draw_w,2011,39,0.38049632873714245,-763.0016434426957,9.493810255560426,2.4015759663293146,0.8740724197177666,2011.3230663928816,2025.2573579739903,frontier,Frontier AI models,all records
training_power_draw_w,2010,39,0.38049632873714245,-763.0016434426957,9.493810255560426,2.4015759663293146,0.8740724197177666,2011.3230663928816,2025.2573579739903,frontier,Frontier AI models,deep learning era
training_compute_flop,2019,314,0.22172180899053748,-424.86033597103363,16.292307754542723,1.6661795852005334,0.14820776469786723,2019.8268309377138,2026.577686516085,large_scale,Large-scale AI models,all records
training_compute_flop,2010,314,0.22172180899053748,-424.86033597103363,16.292307754542723,1.6661795852005334,0.14820776469786723,2019.8268309377138,2026.577686516085,large_scale,Large-scale AI models,deep learning era
parameters,2019,356,0.07057824771781462,-132.23091962203037,51.18234108631717,1.1764629313036303,0.01128086212937085,2019.8268309377138,2026.577686516085,large_scale,Large-scale AI models,all records
parameters,2010,356,0.07057824771781462,-132.23091962203037,51.18234108631717,1.1764629313036303,0.01128086212937085,2019.8268309377138,2026.577686516085,large_scale,Large-scale AI models,deep learning era
training_compute_flop,1950,1402,0.3408265877575182,-667.9996529972,10.59882086000226,2.1919295309208913,0.6403946639923657,1950.498288843258,2026.577686516085,all,All AI models,all records
training_compute_flop,2010,1327,0.5842533983877836,-1160.2988184674575,6.182865102600842,3.839311930040509,0.4795377957717806,2010.1615331964408,2026.577686516085,all,All AI models,deep learning era
parameters,1950,2323,0.17465889430401482,-343.9995518035686,20.68237041326981,1.4950609367550618,0.5093786135701777,1950.498288843258,2026.577686516085,all,All AI models,all records
parameters,2010,2209,0.30953536256434344,-616.8113571535642,11.670265775261361,2.039554724230426,0.4018255935631754,2010.0,2026.577686516085,all,All AI models,deep learning era
training_dataset_size,1950,1401,0.201680393636826,-398.22095271699555,17.91130948738972,1.5910374185034613,0.3906393838197372,1950.498288843258,2026.5338809034909,all,All AI models,all records
training_dataset_size,2010,1268,0.44675768433439816,-893.6528712710874,8.085725382316921,2.797420056774913,0.3618138173801071,2010.0054757015744,2026.5338809034909,all,All AI models,deep learning era
training_cost_2023usd,2012,225,0.35732452776362233,-717.8126576463276,10.109465394319155,2.2767981390268672,0.3336395867325752,2012.4216290212185,2026.5722108145105,all,All AI models,all records
training_cost_2023usd,2010,225,0.35732452776362233,-717.8126576463276,10.109465394319155,2.2767981390268672,0.3336395867325752,2012.4216290212185,2026.5722108145105,all,All AI models,deep learning era
training_power_draw_w,2005,773,0.14888335736432515,-296.7511358556949,24.26302047399526,1.4089103430333796,0.0909419657432976,2005.9253935660506,2026.4873374401095,all,All AI models,all records
training_power_draw_w,2010,771,0.15154523795800345,-302.13705454314504,23.836842362336977,1.4175723641115294,0.084842442824421,2011.3230663928816,2026.4873374401095,all,All AI models,deep learning era
