dataset,model,publication_date,organization_primary,organization,org_category,country,domain,task,training_compute_flop,parameters,training_dataset_size,training_cost_2023usd,training_time_hours,training_time_days,training_power_draw_w,hardware_quantity,citations,training_hardware,hardware_family,model_accessibility,open_weights,training_code_accessibility,confidence,compute_estimation_method
frontier,Theseus,1950-07-02,Bell Laboratories,Bell Laboratories,,United States of America,Robotics,Maze solving,40.0,40.0,40.0,,,,,,,,,,,,Confident,Other
frontier,Perceptron Mark I,1957-01-01,Cornell Aeronautical Laboratory,"Cornell Aeronautical Laboratory,Cornell University",,United States of America,Other,Binary classification,694894.9377361819,1000.0,100.0,,,,,,1610.0,,,,,,Likely,Third-party estimation
frontier,Pandemonium (morse),1959-02-01,Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology (MIT),,United States of America,Language,Morse translation,600000000.0,,,,,,,,1453.0,,,,,,Speculative,Hardware
frontier,Samuel Neural Checkers,1959-07-01,IBM,IBM,,United States of America,Games,Checkers,428400000.0,16.0,,,,,,,5063.0,,,,,,Likely,
frontier,Perceptron (1960),1960-03-30,Cornell Aeronautical Laboratory,Cornell Aeronautical Laboratory,,United States of America,Vision,Image classification,720000000.0,1000.0,100.0,,,,,,394.0,,,,,,Speculative,Hardware
frontier,ADALINE,1960-06-30,Stanford University,Stanford University,,United States of America,Vision,Pattern recognition,6600.0,17.0,100.0,,,,,,6329.0,,,,,,Confident,Operation counting
frontier,Linear Decision Functions,1962-06-01,Bell Laboratories,Bell Laboratories,,United States of America,Mathematics,Binary classification,1559250.0,,500.0,,0.4375,0.018229166666666668,,,,,,,,,Speculative,Hardware
frontier,Print Recognition Logic,1963-01-01,IBM,IBM,,United States of America,Vision,Character recognition (OCR),22500000.0,,,,2.5,0.10416666666666667,,,,,,,,,Speculative,Hardware
frontier,LTE speaker verification system,1966-11-01,IBM,IBM,,United States of America,Speech,Speech recognition (ASR),105917060.0,2061.0,417.0,,,,,,,,,,,,Likely,Operation counting
frontier,Neocognitron,1980-04-01,NHK Broadcasting Science Research Laboratories,NHK Broadcasting Science Research Laboratories,,Japan,Vision,Character recognition (OCR),273738240.0,1140576.0,5.0,,,,,,5782.0,,,,,,Confident,Operation counting
frontier,ASE+ACE,1983-09-01,University of Massachusetts Amherst,University of Massachusetts Amherst,,United States of America,Robotics,Pole balancing,324000000.0,324.0,500000.0,,2.8,0.11666666666666665,,,4296.0,,,,,,Likely,Operation counting
frontier,Distributed representation NN,1986-08-15,Carnegie Mellon University (CMU),Carnegie Mellon University (CMU),,United States of America,Other,Representation learning,388800000.0,432.0,100.0,,,,,,,,,,,,Confident,Operation counting
frontier,MLP with back-propagation,1986-10-01,University of California San Diego,"University of California San Diego,Carnegie Mellon University (CMU)",,United States of America,Mathematics,Triplet completion,673920000.0,720.0,104.0,,,,,,29621.0,,,,,,Confident,Operation counting
frontier,NetTalk (dictionary),1987-06-06,Princeton University,Princeton University,,United States of America,Speech,Speech synthesis,27664065000.0,18629.0,5000.0,,,,,,2558.0,,,,,,Confident,Operation counting
frontier,NetTalk (transcription),1987-06-06,Princeton University,Princeton University,,United States of America,Speech,Speech synthesis,28328002560.0,18629.0,5120.0,,,,,,2558.0,,,,,,Confident,Operation counting
frontier,Translation-invariant MLP,1987-06-15,Carnegie Mellon University (CMU),Carnegie Mellon University (CMU),,United States of America,,Object recognition,18032947200.0,816.0,160.0,,,,,,,,,,,,Confident,Operation counting
frontier,Invariant image recognition,1989-06-18,Complutense University of Madrid,Complutense University of Madrid,,Spain,Vision,Representation learning,27000000000.0,,,,6.0,0.25,,,,,,,,,Confident,Hardware
frontier,Handwritten digit recognition network,1989-11-27,AT&T,AT&T,,United States of America,Vision,Digit recognition,181440000000.0,2578.0,9840.0,,72.0,3.0,,,,,,,,,Confident,Hardware
frontier,Zip CNN,1989-12-01,AT&T,"AT&T,Bell Laboratories",,United States of America,Vision,Character recognition (OCR),1496338054440.0,9760.0,7291.0,,,,,,11725.0,,,,,,Confident,Operation counting
frontier,NETtalk reimplementation,1990-06-01,Oregon State University,Oregon State University,,United States of America,Speech,Text-to-speech (TTS),35811936000.0,27480.0,7242.0,,,,,,,,,,,,Confident,Operation counting
