dataset,model,publication_date,organization_primary,organization,org_category,country,domain,task,training_compute_flop,parameters,training_dataset_size,training_cost_2023usd,training_time_hours,training_time_days,training_power_draw_w,hardware_quantity,citations,training_hardware,hardware_family,model_accessibility,open_weights,training_code_accessibility,confidence,compute_estimation_method
notable,Theseus,1950-07-02,Bell Laboratories,Bell Laboratories,Industry,United States of America,Robotics,Maze solving,40.0,40.0,40.0,,,,,,,,,,,,Confident,
notable,SNARC,1952-01-08,Harvard University,Harvard University,Academia,United States of America,Robotics,Maze solving,,40.0,,,,,,,33.0,,,,,,,
notable,Genetic algorithm,1954-07-02,Institute for Advanced Study,Institute for Advanced Study,Academia,United States of America,Mathematics,Numerical simulation,,,,,,,,,266.0,,,,,,Unknown,
notable,Self Organizing System,1955-03-01,Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology (MIT),Academia,United States of America,Other,Pattern recognition,,225.0,2.0,,,,,,93.0,,,,,,,
notable,Sequence-based pattern recognition,1955-03-01,Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology (MIT),Academia,United States of America,Vision,Character recognition (OCR),,,,,,,,,290.0,,,,,,Unknown,
notable,Perceptron Mark I,1957-01-01,Cornell Aeronautical Laboratory,"Cornell Aeronautical Laboratory,Cornell University",Academia,United States of America,Other,Binary classification,694894.9377361819,1000.0,100.0,,,,,,1610.0,,,,,,Likely,
notable,Pandemonium (morse),1959-02-01,Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology (MIT),Academia,United States of America,Language,Morse translation,600000000.0,,,,,,,,1453.0,,,,,,Speculative,
notable,Samuel Neural Checkers,1959-07-01,IBM,IBM,Industry,United States of America,Games,Checkers,428400000.0,16.0,,,,,,,5063.0,,,,,,Likely,
notable,Pattern recognition and reading by machine,1959-12-01,Sandia Corporation,Sandia Corporation,Industry,United States of America,Vision,Character recognition (OCR),,2625.0,180.0,,,,,,587.0,,,,,,,
notable,Perceptron (1960),1960-03-30,Cornell Aeronautical Laboratory,Cornell Aeronautical Laboratory,Academia,United States of America,Vision,Image classification,720000000.0,1000.0,100.0,,,,,,394.0,,,,,,Speculative,
notable,ADALINE,1960-06-30,Stanford University,Stanford University,Academia,United States of America,Vision,Pattern recognition,6600.0,17.0,100.0,,,,,,6329.0,,,,,,Confident,
notable,Linear Decision Functions,1962-06-01,Bell Laboratories,Bell Laboratories,Industry,United States of America,Mathematics,Binary classification,1559250.0,,500.0,,0.4375,0.018229166666666668,,,,,,,,,Speculative,
notable,MADALINE I,1962-07-01,Stanford University,Stanford University,Academia,United States of America,Other,"Text classification,Image classification",,,256.0,,,,,,75.0,,,,,,Unknown,
