metric_id,2026-04-01,2026-05-01,delta
ai_autonomy_mean,2.27,2.24,-0.029999999999999805
ai_education_years_mean,12.93,12.94,0.009999999999999787
artifact_academic_paper_or_thesis_pct,0.06,0.05,-0.009999999999999995
artifact_advice_or_recommendation_pct,2.03,1.97,-0.05999999999999983
artifact_analysis_or_summary_pct,22.2,21.01,-1.1899999999999977
artifact_app_or_website_pct,2.62,2.13,-0.4900000000000002
artifact_audio_or_music_pct,0.1,0.08,-0.020000000000000004
artifact_blog_or_article_pct,0.39,0.37,-0.020000000000000018
artifact_chart_or_visualization_pct,0.2,0.18,-0.020000000000000018
artifact_code_fix_or_debug_pct,4.97,4.72,-0.25
artifact_config_or_infra_pct,2.36,2.14,-0.21999999999999975
artifact_creative_writing_pct,1.31,1.2,-0.1100000000000001
artifact_data_or_spreadsheet_pct,12.22,13.76,1.5399999999999991
artifact_document_or_report_pct,5.69,5.9,0.20999999999999996
artifact_educational_material_pct,0.84,0.74,-0.09999999999999998
artifact_email_or_message_pct,2.12,2.44,0.31999999999999984
artifact_explanation_or_answer_pct,8.36,7.81,-0.5499999999999998
artifact_game_or_interactive_pct,0.67,0.44,-0.23000000000000004
artifact_idea_or_brainstorm_pct,0.16,0.16,0.0
artifact_image_or_graphic_pct,1.08,0.9,-0.18000000000000005
artifact_marketing_or_social_content_pct,2.09,2.28,0.18999999999999995
artifact_math_or_calculation_pct,1.42,0.88,-0.5399999999999999
artifact_ml_or_ai_system_pct,0.6,0.62,0.020000000000000018
artifact_none_pct,15.37,16.34,0.9700000000000006
artifact_other_pct,6.61,7.81,1.1999999999999993
artifact_plan_or_strategy_pct,0.93,0.89,-0.040000000000000036
artifact_presentation_or_slides_pct,0.46,0.29,-0.17000000000000004
artifact_recipe_or_meal_plan_pct,0.04,0.05,0.010000000000000002
artifact_resume_or_job_application_pct,0.09,0.1,0.010000000000000009
artifact_script_or_snippet_pct,2.0,1.85,-0.1499999999999999
artifact_sql_or_database_query_pct,0.71,0.67,-0.039999999999999925
artifact_translation_pct,1.2,1.25,0.050000000000000044
artifact_ui_or_design_mockup_pct,0.09,0.08,-0.009999999999999995
artifact_video_or_animation_pct,1.01,0.91,-0.09999999999999998
collaboration_bucket_augmentation_pct,6.34,5.78,-0.5599999999999996
collaboration_bucket_automation_pct,93.66,94.22,0.5600000000000023
collaboration_directive_pct,80.88,82.75,1.8700000000000045
collaboration_feedback_loop_pct,7.41,6.28,-1.13
collaboration_learning_pct,1.47,1.38,-0.09000000000000008
collaboration_none_pct,5.73,5.51,-0.22000000000000064
collaboration_task_iteration_pct,2.9,2.68,-0.21999999999999975
collaboration_validation_pct,1.6,1.41,-0.19000000000000017
human_education_years_mean,13.37,13.38,0.010000000000001563
human_only_ability_pct,88.92,89.67,0.75
human_only_time_mean,1.31,1.13,-0.18000000000000016
human_with_ai_time_mean,5.15,4.53,-0.6200000000000001
multitasking_pct,4.94,4.02,-0.9200000000000008
usage_pct,100.0,100.0,0.0
usage_per_capita_index,1.0,1.0,0.0
use_case_coursework_pct,3.11,2.26,-0.8500000000000001
use_case_personal_pct,14.7,13.71,-0.9899999999999984
use_case_work_pct,82.19,84.03,1.8400000000000034
