geo_id,country,usage_pct,usage_per_capita_index,collaboration_bucket_automation_pct,use_case_work_pct,use_case_personal_pct,use_case_coursework_pct,ai_autonomy_mean
USA,United States,20.16,3.87,49.59,41.32,49.74,8.94,2.71
IND,India,7.12,0.3,51.87,44.14,35.92,19.95,2.84
FRA,France,3.95,3.97,45.6,34.23,48.11,17.65,2.68
GBR,United Kingdom,3.47,3.35,44.81,39.02,43.47,17.5,2.69
BRA,Brazil,3.33,0.96,51.18,57.35,31.12,11.52,2.84
JPN,Japan,3.28,1.91,47.45,47.0,47.15,5.85,2.72
KOR,South Korea,3.24,3.78,43.76,47.24,37.86,14.9,2.64
DEU,Germany,2.98,2.4,45.22,37.62,48.73,13.65,2.68
AUS,Australia,2.65,6.4,45.5,42.67,36.64,20.69,2.72
CAN,Canada,2.63,4.13,47.33,42.11,49.64,8.25,2.7
IDN,Indonesia,2.08,0.46,47.51,29.41,24.71,45.88,2.83
ESP,Spain,2.05,2.69,48.1,42.28,38.5,19.22,2.73
ITA,Italy,1.5,1.7,46.36,42.89,40.93,16.19,2.71
MEX,Mexico,1.32,0.63,50.36,44.97,33.95,21.08,2.81
PAK,Pakistan,1.08,0.31,50.69,40.32,29.94,29.74,2.77
NLD,Netherlands,1.07,3.9,45.27,40.82,44.54,14.64,2.69
ARG,Argentina,1.05,1.48,47.87,46.87,33.81,19.32,2.77
COL,Colombia,1.03,1.18,50.02,45.4,24.52,30.08,2.83
TUR,Turkey,0.88,0.64,50.0,40.37,43.34,16.29,2.76
THA,Thailand,0.86,0.73,52.54,53.12,37.04,9.84,2.81
VNM,Vietnam,0.85,0.53,51.38,53.13,26.5,20.38,2.79
PHL,Philippines,0.8,0.44,49.17,45.01,31.9,23.09,2.75
TWN,Taiwan,0.79,2.08,49.66,47.06,40.9,12.04,2.77
POL,Poland,0.75,1.33,47.85,41.77,45.92,12.31,2.7
NGA,Nigeria,0.73,0.24,51.7,47.64,34.73,17.63,2.81
CHE,Switzerland,0.7,5.02,44.15,38.78,43.92,17.3,2.68
BEL,Belgium,0.68,3.8,42.7,32.84,38.9,28.26,2.67
SGP,Singapore,0.62,5.81,46.3,46.75,42.28,10.97,2.75
EGY,Egypt,0.62,0.36,50.87,40.78,31.07,28.15,2.76
ARE,United Arab Emirates,0.61,2.84,50.28,54.63,36.28,9.09,2.82
CHL,Chile,0.59,1.84,48.82,47.89,30.38,21.73,2.82
PER,Peru,0.57,1.05,47.58,36.17,21.96,41.87,2.83
SAU,Saudi Arabia,0.57,0.93,48.61,47.26,36.16,16.59,2.77
MAR,Morocco,0.54,0.9,47.71,34.51,30.6,34.89,2.77
PRT,Portugal,0.53,3.32,47.49,43.8,38.29,17.91,2.76
MYS,Malaysia,0.51,0.87,47.2,46.28,33.9,19.82,2.78
ZAF,South Africa,0.47,0.46,51.43,44.13,30.2,25.67,2.81
UKR,Ukraine,0.47,0.78,48.9,40.61,40.61,18.77,2.66
SWE,Sweden,0.46,2.98,44.3,38.11,44.96,16.93,2.65
ISR,Israel,0.43,3.05,51.94,53.32,37.26,9.42,2.75
ROU,Romania,0.4,1.37,47.88,38.96,42.99,18.05,2.72
NZL,New Zealand,0.39,4.84,46.33,43.16,37.27,19.57,2.69
DZA,DZA,0.39,0.56,47.43,21.8,31.08,47.12,2.71
AUT,Austria,0.37,2.61,45.94,37.2,44.62,18.17,2.68
NOR,Norway,0.35,4.04,41.26,31.17,42.45,26.38,2.63
DNK,Denmark,0.32,3.57,42.27,35.36,39.33,25.31,2.65
BGD,Bangladesh,0.31,0.11,50.75,36.45,36.48,27.07,2.75
CZE,Czechia,0.3,1.84,48.52,39.61,45.1,15.29,2.71
TUN,TUN,0.27,1.4,49.79,27.94,20.54,51.52,2.75
IRL,Ireland,0.27,3.23,46.74,36.26,47.94,15.8,2.69
KEN,Kenya,0.27,0.34,54.61,51.15,30.05,18.8,2.87
GRC,Greece,0.23,1.51,47.81,47.13,39.3,13.57,2.71
KAZ,KAZ,0.21,0.71,49.26,36.37,40.57,23.06,2.7
GHA,Ghana,0.19,0.38,54.68,37.78,32.64,29.57,2.86
NPL,Nepal,0.19,0.41,51.27,34.07,33.98,31.95,2.78
LKA,Sri Lanka,0.19,0.56,52.19,38.98,26.04,34.98,2.83
FIN,Finland,0.18,2.19,45.91,38.49,48.67,12.85,2.66
ECU,ECU,0.17,0.58,49.38,38.63,22.73,38.64,2.81
HUN,Hungary,0.16,1.07,48.1,37.87,45.11,17.02,2.71
IRQ,IRQ,0.16,0.24,49.44,23.54,41.92,34.54,2.71
UZB,UZB,0.16,0.3,53.38,22.81,44.52,32.67,2.75
CMR,CMR,0.15,0.38,55.19,32.4,26.5,41.1,2.86
BGR,Bulgaria,0.13,1.36,48.61,46.14,43.2,10.66,2.69
SRB,Serbia,0.13,1.31,45.59,46.02,42.32,11.66,2.64
CRI,Costa Rica,0.13,1.57,48.93,45.48,33.31,21.21,2.79
CIV,CIV,0.13,0.3,52.94,40.62,31.81,27.57,2.83
SVK,Slovakia,0.12,1.43,48.3,37.27,44.68,18.05,2.69
DOM,DOM,0.12,0.67,52.1,46.5,35.13,18.37,2.85
BOL,BOL,0.11,0.56,51.56,33.71,23.02,43.26,2.86
JOR,JOR,0.11,0.64,48.93,37.1,32.88,30.02,2.73
SEN,SEN,0.11,0.41,51.82,36.99,28.1,34.91,2.84
URY,Uruguay,0.1,1.89,48.01,46.76,36.13,17.11,2.77
GTM,GTM,0.1,0.37,51.75,39.3,28.67,32.03,2.82
HRV,Croatia,0.1,1.8,49.03,43.57,42.9,13.53,2.66
GEO,GEO,0.1,1.8,48.09,41.99,45.72,12.29,2.66
LTU,Lithuania,0.1,2.28,47.99,38.72,43.8,17.48,2.7
QAT,Qatar,0.09,1.66,48.08,50.85,37.51,11.65,2.77
PAN,Panama,0.09,1.28,50.85,44.87,33.05,22.08,2.81
KWT,Kuwait,0.08,0.92,48.86,40.06,44.83,15.11,2.73
PRI,PRI,0.08,1.68,49.92,40.99,42.9,16.1,2.75
LBN,LBN,0.08,0.96,45.52,43.89,30.59,25.52,2.77
AZE,AZE,0.07,0.43,48.58,36.25,44.87,18.88,2.67
OMN,OMN,0.07,0.73,50.08,43.16,31.81,25.03,2.8
BEN,BEN,0.07,0.39,47.37,39.95,33.02,27.03,2.81
LVA,Latvia,0.07,2.37,47.7,38.17,43.25,18.58,2.68
