geo_level,category_name,hierarchy_level,rows,metrics,nodes,geos
country,onet,0,33886,1,1729,121
country,onet,1,21795,1,578,121
country,onet,2,13259,1,182,121
country,onet,3,182122,51,35,121
country,overall,0,12220,52,1,121
country,request,0,38868,1,959,121
country,request,1,19552,1,190,121
country,request,2,155220,51,20,121
country,soc_occupation,0,34253,1,633,121
country,soc_occupation,1,162097,51,22,121
global,onet,0,261013,51,2820,1
global,onet,1,71070,51,750,1
global,onet,2,20599,51,211,1
global,onet,3,3570,51,35,1
global,overall,0,104,52,1,1
global,request,0,102406,51,1008,1
global,request,1,19788,51,195,1
global,request,2,2040,51,20,1
global,soc_occupation,0,72107,51,718,1
global,soc_occupation,1,2244,51,22,1
subregion,onet,0,45170,1,883,553
subregion,onet,1,41999,1,384,609
subregion,onet,2,34877,1,150,609
subregion,onet,3,15184,1,34,609
subregion,overall,0,60686,52,1,652
subregion,request,0,63124,1,800,546
subregion,request,1,49268,1,178,609
subregion,request,2,14936,1,20,609
subregion,soc_occupation,0,67900,1,476,604
subregion,soc_occupation,1,15216,1,22,609
