geo_id,usage_per_capita_index,usage_pct,collaboration_bucket_automation_pct
US-DC,3.32,0.76,45.52
US-CA,1.62,19.25,48.0
US-NY,1.55,9.08,46.9
US-WA,1.51,3.57,48.08
US-MA,1.42,3.05,46.7
US-CO,1.41,2.56,51.09
US-UT,1.21,1.28,51.87
US-HI,1.14,0.45,50.06
US-NV,1.13,1.1,51.63
US-OR,1.1,1.39,49.12
US-MD,1.09,2.0,48.08
US-VA,1.07,2.76,49.37
US-CT,1.07,1.16,48.59
US-DE,1.05,0.31,51.22
US-FL,1.05,7.01,52.74
US-NJ,1.02,2.85,48.97
US-IL,1.0,3.79,48.58
US-RI,0.96,0.32,48.85
US-TX,0.95,8.91,51.07
US-AZ,0.95,2.08,50.91
US-GA,0.93,3.12,51.2
US-NH,0.88,0.36,50.51
US-NC,0.88,2.85,51.47
US-VT,0.87,0.16,50.54
US-MN,0.81,1.37,49.54
US-PA,0.8,3.01,48.8
US-MO,0.7,1.26,51.61
US-TN,0.69,1.46,52.76
US-ID,0.68,0.39,51.69
US-ME,0.65,0.26,49.81
US-NE,0.63,0.36,51.89
US-MI,0.61,1.81,50.23
US-IN,0.61,1.23,50.03
US-OH,0.59,2.02,50.78
US-WI,0.59,1.02,49.69
US-MT,0.58,0.19,50.97
US-OK,0.53,0.63,52.54
US-SC,0.51,0.8,53.5
US-AK,0.51,0.11,49.83
US-NM,0.49,0.3,50.38
US-LA,0.48,0.64,51.89
US-KS,0.48,0.41,50.54
US-AL,0.47,0.71,52.41
US-WY,0.43,0.07,48.94
US-IA,0.41,0.38,52.01
US-KY,0.39,0.51,53.04
US-AR,0.39,0.35,53.6
US-SD,0.37,0.1,53.91
US-ND,0.37,0.09,48.49
US-MS,0.28,0.24,52.19
US-WV,0.25,0.13,49.9
