organization,system,chip,accelerator,vendor,generation,generation_order,workload,scenario,accelerators,result,per_accelerator,availability
NVIDIA,NVIDIA GB300 NVL72 (72x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,deepseek-r1,Interactive,72,250634,3481.03,available
NVIDIA,NVIDIA GB200 NVL72 (72x GB200-186GB_aarch64 TensorRT),NVIDIA GB200,NVIDIA GB200,NVIDIA,GB200,3,deepseek-r1,Interactive,72,240318,3337.75,available
GigaComputing,G894-SD3-AAX7,NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,deepseek-r1,Interactive,8,4934.65,616.831,available
CoreWeave,CoreWeave GB300 NVL72 (8x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,deepseek-r1,Offline,8,78564,9820.5,available
Nebius,Nebius GB300 NVL72 (4x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,deepseek-r1,Offline,8,76346.6,9543.33,available
Nebius,Nebius GB300 NVL72 (72x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,deepseek-r1,Offline,72,673936,9360.22,available
NVIDIA,NVIDIA GB300 NVL72 (72x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,deepseek-r1,Offline,72,647076,8987.17,available
NVIDIA,NVIDIA DGX B300 (8x B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,deepseek-r1,Offline,8,70325.7,8790.71,available
GigaComputing,G894-SD3-AAX7,NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,deepseek-r1,Offline,8,69617.4,8702.17,available
Nebius,Nebius B300 n1 (8x B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,deepseek-r1,Offline,8,69318.9,8664.86,available
NVIDIA,NVIDIA GB300 NVL72 (72x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,deepseek-r1,Offline,288,2.49431e+06,8660.8,available
Quanta_Cloud_Technology,QuantaGrid D75H-10U (8x B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,deepseek-r1,Offline,8,69263.2,8657.9,available
Cisco,Cisco UCS C880A M8 (8x NVIDIA B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,deepseek-r1,Offline,8,69251.4,8656.42,available
Dell,PowerEdge XE9780 (8x B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,deepseek-r1,Offline,8,69021.2,8627.65,available
Dell,PowerEdge XE9780L (8x B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,deepseek-r1,Offline,8,66287.9,8285.99,available
CoreWeave,CoreWeave GB200 NVL72 (64x GB200-186GB_aarch64 TensorRT),NVIDIA GB200,NVIDIA GB200,NVIDIA,GB200,3,deepseek-r1,Offline,64,468665,7322.89,available
Nebius,Nebius B200 n1 (8x B200-SXM-180GB TensorRT),NVIDIA B200-SXM-180GB,NVIDIA B200-SXM-180GB,NVIDIA,B200,2,deepseek-r1,Offline,8,58581.6,7322.7,available
Dell,PowerEdge XE9780 (8x B200-SXM-180GB TensorRT),NVIDIA B200-SXM-180GB,NVIDIA B200-SXM-180GB,NVIDIA,B200,2,deepseek-r1,Offline,8,58235.4,7279.43,available
Google,NVIDIA DGX B200 (8x B200-SXM-180GB TensorRT),NVIDIA B200-SXM-180GB,NVIDIA B200-SXM-180GB,NVIDIA,B200,2,deepseek-r1,Offline,8,57116.9,7139.61,available
NVIDIA,NVIDIA GB200 NVL72 (72x GB200-186GB_aarch64 TensorRT),NVIDIA GB200,NVIDIA GB200,NVIDIA,GB200,3,deepseek-r1,Offline,72,486141,6751.96,available
Google,NVIDIA GB200 NVL72 (72x GB200-186GB_aarch64 TensorRT),NVIDIA GB200,NVIDIA GB200,NVIDIA,GB200,3,deepseek-r1,Offline,72,307874,4276.03,available
Nebius,Nebius GB300 NVL72 (4x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,deepseek-r1,Server,8,64510,8063.75,available
Nebius,Nebius GB300 NVL72 (72x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,deepseek-r1,Server,72,575580,7994.17,available
Nebius,Nebius B300 n1 (8x B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,deepseek-r1,Server,8,60413.4,7551.68,available
Cisco,Cisco UCS C880A M8 (8x NVIDIA B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,deepseek-r1,Server,8,58553.3,7319.16,available
Nebius,Nebius B200 n1 (8x B200-SXM-180GB TensorRT),NVIDIA B200-SXM-180GB,NVIDIA B200-SXM-180GB,NVIDIA,B200,2,deepseek-r1,Server,8,51692.9,6461.61,available
Dell,PowerEdge XE9780 (8x B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,deepseek-r1,Server,8,46513.1,5814.14,available
Dell,PowerEdge XE9780L (8x B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,deepseek-r1,Server,8,46510.6,5813.82,available
CoreWeave,CoreWeave GB300 NVL72 (8x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,deepseek-r1,Server,8,44589.7,5573.71,available
NVIDIA,NVIDIA GB300 NVL72 (72x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,deepseek-r1,Server,72,400437,5561.62,available
NVIDIA,NVIDIA GB300 NVL72 (72x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,deepseek-r1,Server,288,1.55511e+06,5399.69,available
NVIDIA,NVIDIA DGX B300 (8x B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,deepseek-r1,Server,8,42721.4,5340.18,available
Google,NVIDIA DGX B200 (8x B200-SXM-180GB TensorRT),NVIDIA B200-SXM-180GB,NVIDIA B200-SXM-180GB,NVIDIA,B200,2,deepseek-r1,Server,8,41027.9,5128.49,available
Dell,PowerEdge XE9780 (8x B200-SXM-180GB TensorRT),NVIDIA B200-SXM-180GB,NVIDIA B200-SXM-180GB,NVIDIA,B200,2,deepseek-r1,Server,8,40949.5,5118.69,available
CoreWeave,CoreWeave GB200 NVL72 (64x GB200-186GB_aarch64 TensorRT),NVIDIA GB200,NVIDIA GB200,NVIDIA,GB200,3,deepseek-r1,Server,64,311531,4867.67,available
NVIDIA,NVIDIA GB200 NVL72 (72x GB200-186GB_aarch64 TensorRT),NVIDIA GB200,NVIDIA GB200,NVIDIA,GB200,3,deepseek-r1,Server,72,336106,4668.14,available
GigaComputing,G894-SD3-AAX7,NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,deepseek-r1,Server,8,35552.6,4444.07,available
Quanta_Cloud_Technology,QuantaGrid D75H-10U (8x B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,deepseek-r1,Server,8,35435.7,4429.46,available
Google,NVIDIA GB200 NVL72 (72x GB200-186GB_aarch64 TensorRT),NVIDIA GB200,NVIDIA GB200,NVIDIA,GB200,3,deepseek-r1,Server,72,156781,2177.51,available
