date,cumulative_quadrillions,cumulative_tokens,series_since,integral_quadrillions,integral_diff_pct
2024-01-15,0,0,2024-01-15,0,
2024-04-15,0.24,240000000000000,2024-01-15,0.24024,0.1000000000000075
2024-07-15,0.618,618000000000000,2024-01-15,0.61789,-0.017799352750799916
2024-10-15,1.292,1292000000000000,2024-01-15,1.29225,0.019349845201227667
2025-01-15,2.562,2562000000000000,2024-01-15,2.56185,-0.005854800936754505
2025-04-15,5.005,5005000000000000,2024-01-15,5.00535,0.0069930069930084415
2025-07-15,10.278,10278000000000000,2024-01-15,10.2783,0.003356684179812706
2025-10-15,20.379,20379000000000000,2024-01-15,20.3795,0.002379900878343521
2026-01-15,37.408,37408000000000000,2024-01-15,37.4078,-0.0006282078699837947
2026-04-15,61.729,61729000000000000,2024-01-15,61.7294,0.0005912942053318126
2026-07-15,92.227,92227000000000000,2024-01-15,92.2267,-0.0003794984115252669
2026-07-16,92.587,92587000000000000,2024-01-15,92.5869,-0.00011880717594509265
